feature_id	logFC	AveExpr	t	P.Value	adj.P.Val	B	Gene Symbol
517	0.253883861919643	10.5172475526087	2.61278732991867	0.0120773753173249	0.0362361832376004	-3.55048043931857	ATP5G2
5170	-0.169198499941964	8.37629931347826	-1.66819943376903	0.102038604849748	0.181906082574888	-5.39522219316588	PDPK1
51700	-0.421454555919642	8.27252794932609	-2.93783052446405	0.00514112406729467	0.0191385986796535	-2.77302398931818	CYB5R2
51701	-0.103319311589286	8.052003982	-0.611329540794164	0.543976909662652	0.649618176074502	-6.56917585769786	NLK
51702	-0.0994599835937498	6.20754717119565	-1.94559189110858	0.0578005790003023	0.11898431699737	-4.92389619279917	PADI3
51703	0.416227220772321	8.39311682504348	3.11969351897096	0.003115421721149	0.0130793341926632	-2.3109796244343	ACSL5
51704	0.495580011620535	7.80033259421739	6.12666105536747	1.83843636987942e-07	6.54222267955906e-06	7.02613769180121	GPRC5B
51705	0.782037079736608	10.5396509699565	2.70113150495794	0.00962814986368264	0.0304997067580655	-3.34562970104933	EMCN
51706	-0.238822517544642	9.81482111184783	-1.43681715529924	0.157505699547659	0.252227207317167	-5.7390756214206	CYB5R1
51710	-0.0115332692723213	4.33833418258696	-0.44191095203799	0.660614653306659	0.747635778130646	-6.65855988234581	ZNF44
51714	0.0555982543839291	9.47930958945652	0.448203995656106	0.656100226013707	0.744066897840172	-6.65574865333039	SELT
51715	0.0444897448348213	5.16406244678261	0.650713516285854	0.518453655934156	0.626981758855422	-6.54433959551514	RAB23
51716	0.0507179812812498	4.62615959043478	1.0160253565853	0.314907047322043	0.42833073613732	-6.24225276757958	CES4
51719	0.177323422285715	10.310122395413	2.81234650745953	0.00719562261765144	0.0245042324023532	-3.08079310446507	CAB39
5172	-0.322527364379464	5.0234875056087	-2.80988011492304	0.007242749933976	0.0246020322524324	-3.08674843797663	SLC26A4
51720	0.159558411026785	8.79924268128261	1.93440499051179	0.0591989613112469	0.121178708983068	-4.94410512012596	UIMC1
51725	-0.111545981004464	5.1436807366087	-2.63872855412204	0.0113047316050861	0.0343974985443904	-3.49084585020393	FBXO40
51727	-0.0503833363526788	8.9874887111087	-0.418300586844163	0.677664789909921	0.761557702797023	-6.6687556568814	CMPK1
51728	-0.0105690644508933	8.26152172969565	-0.0811017442714625	0.935711247340925	0.956547244859481	-6.75346769742762	POLR3K
51729	-0.777341254325893	7.88374420041304	-7.49844114200172	1.59291819731003e-09	1.59663500643709e-07	11.6569084393333	WBP11
5173	-0.0811798967455359	4.68781590106522	-1.82208415169835	0.0749168620566278	0.144060754087469	-5.14148489079718	PDYN
51733	-0.863109016013393	6.83654682204348	-2.73936692030802	0.00871724204932449	0.0283304478166104	-3.25544096998486	UPB1
51734	-0.302426060642857	9.8029473676087	-2.14290975287226	0.0374185077186237	0.0855158295344112	-4.55149492266581	SEPX1
51735	-0.244920654299107	6.84489114554348	-1.80532468378949	0.0775404557432921	0.147946795951827	-5.17006452090749	RAPGEF6
5174	-0.594200902013393	9.24060684013043	-1.82718999260941	0.0741326039320604	0.14307878050302	-5.13273262704308	PDZK1
51741	-0.554256107870535	7.06205194486957	-4.46729045623252	5.08622594776291e-05	0.000548182129925558	1.58235710012152	WWOX
51742	0.25176600645982	9.68899134478261	2.72291054123467	0.00909908745749916	0.0293336435108014	-3.29436966547888	ARID4B
51744	0.228772851294643	6.00791451897826	2.71746487389124	0.00922880285061636	0.029577415584123	-3.30721462996774	CD244
51747	0.501818419410714	9.22528856908696	6.50519589332901	4.94763665272885e-08	2.32262446021094e-06	8.3048878192032	CROP
5175	1.33810552447768	9.81615836045652	7.83736960060271	4.98461548050847e-10	6.44676935479096e-08	12.7907198522434	PECAM1
51750	-0.113853583919643	6.53141313619565	-2.23292686424715	0.0304376622078555	0.073103874008803	-4.37183841732566	RTEL1
51751	-0.0850049792455359	5.6517169956087	-1.63620344384116	0.108590095062063	0.190368993354686	-5.44550216779281	HIGD1B
51752	0.120387230477679	5.44443923002174	0.74701247647387	0.458839808101791	0.571435619367192	-6.4772172344427	ERAP1
51754	-0.302095567946428	7.1356313025	-2.62608806048474	0.0116753782310599	0.0352400123872494	-3.51995845361211	TMEM8B
51755	0.228735455870536	6.21026105241304	4.1290930452093	0.000150947788826871	0.00125041322590193	0.541256764321156	CRKRS
51759	0.249778971357143	7.74576018656522	2.06942590497458	0.0441234859121797	0.0966522106267888	-4.69366878621517	C9orf78
5176	0.504140271410714	6.27971781747826	1.63671871318958	0.108481927575291	0.190207088174286	-5.44469929892326	SERPINF1
51760	0.0710516664910714	5.56892453232609	0.975961973832944	0.334164391925718	0.449039644033894	-6.28162183979676	SYT17
51761	0.199086584883928	6.701591821	1.46948906285286	0.148475181208294	0.240496834238631	-5.69333325369728	ATP8A2
51762	0.4206721900625	6.83614225052174	3.86381620710721	0.000346436834641262	0.0023919055231634	-0.249232438590404	RAB8B
51763	0.17553684075	9.01953036186957	1.70594917916218	0.0947304249083107	0.17198264766547	-5.33479430890456	INPP5K
51764	-0.147107561111607	4.55229787145652	-3.9745602007652	0.000245554272145276	0.00181532070397258	0.0777119098368555	GNG13
51765	0.536152830812499	6.75177853430435	2.42225892477929	0.0194027064624676	0.0518037188303131	-3.97487411552079	RP6-213H19.1
51768	0.0634983559598213	4.99192800943478	0.944576145028996	0.349787601338419	0.464632277073275	-6.31140227469913	TM7SF3
51773	0.299774178723214	5.38154231232609	3.58248371517676	0.000815157102558066	0.00461181073827301	-1.05811449719469	RSF1
51776	-0.128610579763392	5.65917544045652	-2.25361260999822	0.0290067828480173	0.0704266419248995	-4.32971341568262	ZAK
51778	0.413460045183036	6.51172276854348	1.79291322367934	0.0795328407299461	0.150886594369052	-5.19108206450052	MYOZ2
5178	-0.0810159492812501	4.20353602176087	-1.82282718119031	0.0748022993478038	0.143886463546359	-5.14021252955055	PEG3
51780	-0.351222439120536	8.97111224291304	-3.29686236345762	0.00188468399538009	0.00890376241022454	-1.84377409016873	KDM3B
5179	-0.0263012365000003	4.69764426765217	-0.471146771910511	0.639752403695186	0.730070390099212	-6.64516610945759	PENK
518	-0.385395990419643	10.7902663443043	-2.67931553030245	0.0101863681914121	0.0318320697859976	-3.39667790845131	ATP5G3
